quest,questType,entity,entityType,roles,score,reasons,sourceUrl,evidence
Daddy's Home,miniquest,Sawmill operator,npc,helper,0.86,walkthrough interaction match,https://oldschool.runescape.wiki/w/Daddy%27s_Home,"Go to the Varrock sawmill and talk to the sawmill operator to receive 3 waxwood planks. Since he knows of Old Man Yarlo, he'll provide them free of charge."
Death to the Dorgeshuun,quest,Man,monster,helper,0.86,walkthrough interaction match,https://oldschool.runescape.wiki/w/Death_to_the_Dorgeshuun,"*Talk to any man or woman. Zanik must engage in conversation with the man or woman you speak to; if she doesn't, move on to another man or woman and try again."
Death to the Dorgeshuun,quest,Woman,monster,helper,0.86,walkthrough interaction match,https://oldschool.runescape.wiki/w/Death_to_the_Dorgeshuun,"*Talk to any man or woman. Zanik must engage in conversation with the man or woman you speak to; if she doesn't, move on to another man or woman and try again."
Desert Treasure II - The Fallen Empire,quest,Ramarno,npc,helper,0.86,walkthrough interaction match,https://oldschool.runescape.wiki/w/Desert_Treasure_II_-_The_Fallen_Empire,"Make your way to the Ruins of Camdozaal. Once inside, speak to Ramarno at the Sacred Forge to the north (if you have not previously talked to him, he will instead be at the entrance), talk to him and then talk to him at the forge. Ask him i"
Dragon Slayer II,quest,Cabin Boy Herbert,npc,helper,0.86,walkthrough interaction match,https://oldschool.runescape.wiki/w/Dragon_Slayer_II,"Make your way to Port Piscarilius and speak to Veos (or Cabin Boy Herbert if A Kingdom Divided has been started), asking him about Camorra. One fast way to reach him is to use Kharedst's memoirs/Book of the Dead to teleport to Piscarilius a"
Dragon Slayer II,quest,Ghost villager,npc,helper,0.86,walkthrough interaction match,https://oldschool.runescape.wiki/w/Dragon_Slayer_II,"Make your way to Port Phasmatys, and make sure you have your ghostspeak amulet equipped. Speak to the ghost villagers, and they'll lead you to Sarah in the house with a range just west of the bank. Alternatively, you may go straight to Sara"
Dragon Slayer II,quest,Reldo,npc,helper,0.86,walkthrough interaction match,https://oldschool.runescape.wiki/w/Dragon_Slayer_II,"Bob tells you that Tristan held onto this dragon key piece. Go to the Varrock Palace Library, and speak to Reldo regarding this. He'll tell you of a book containing census records, and that he doesn't remember where it was, but knows that i"
Dream Mentor,quest,Brundt the Chieftain,npc,helper,0.86,walkthrough interaction match,https://oldschool.runescape.wiki/w/Dream_Mentor,"Using the lectern at the north of the arena is the only way to leave the following fight. Use of all teleports, including the ring of life and escape crystals, will not work. Players should prepare to use the right-click leave option during"
Fairytale I - Growing Pains,quest,Elstan,npc,helper,0.86,walkthrough interaction match,https://oldschool.runescape.wiki/w/Fairytale_I_-_Growing_Pains,"*# Visit Elstan, one screen north of Frizzy"
Fairytale I - Growing Pains,quest,Frizzy Skernip,npc,helper,0.86,walkthrough interaction match,https://oldschool.runescape.wiki/w/Fairytale_I_-_Growing_Pains,"*# Visit Frizzy Skernip, near the fence between Port Sarim and Draynor Village"
Forgettable Tale...,quest,Blandebir,npc,helper,0.86,walkthrough interaction match,https://oldschool.runescape.wiki/w/Forgettable_Tale...,"If ready to brew the ale, use two buckets of water on the vat, then add two barley malt, then the kelda hops. If you didn't bring ale yeast, take the pot from the nearby table and ask Blandebir to fill it up with ale yeast for 25gp. Use the"
Forgettable Tale...,quest,Camel,npc,helper,0.86,walkthrough interaction match,https://oldschool.runescape.wiki/w/Forgettable_Tale...,"* - Use a Camulet (obtained from the Enakhra's Lament quest) and a bucket and ask a camel for its dung in Al Kharid, or use a bottle of hot sauce from the Pollnivneach kebab seller with camel feed west of The Asp & Snake Bar and use a bucke"
Heroes' Quest,quest,Monk,monster,helper,0.86,walkthrough interaction match,https://oldschool.runescape.wiki/w/Heroes%27_Quest,"If you want, speak to a monk in the Entranan church about the firebird. He does not think they exist but redirects you to the head monk, who is more knowledgeable. The High Priest tells you that the bird lives somewhere on Entrana, and that"
Hopespear's Will,miniquest,Goblin guard (Land of the Goblins),npc,helper,0.86,walkthrough interaction match,https://oldschool.runescape.wiki/w/Hopespear%27s_Will,"Head to the Goblin Cave entrance located just east of the Fishing Guild's entrance. Enter the cave and walk north, then west until you find two goblin guards guarding the entrance to the temple. Drink a dose of goblin potion and enter the t"
Land of the Goblins,quest,Morris,npc,helper,0.86,walkthrough interaction match,https://oldschool.runescape.wiki/w/Land_of_the_Goblins,"Make your way to Aggie in Draynor Village and ask if she can make dyes for you, and then about the black and white dyes. She says that she will need 5 coins and a whitefish, which are caught only at Hemenster with raw slimy eel as bait. Go "
Learning the Ropes,quest,Ironman tutor (Tutorial Island),npc,helper,0.86,walkthrough interaction match,https://oldschool.runescape.wiki/w/Learning_the_Ropes,"After completing the quest, talk to the Magic Instructor and he will tell you to cast the Lumbridge Home Teleport spell to teleport to Lumbridge. He will ask whether you want to talk to the Ironman tutor first before leaving, who would teac"
Monkey Madness I,quest,The Monkey's Uncle,npc,helper,0.86,walkthrough interaction match,https://oldschool.runescape.wiki/w/Monkey_Madness_I,"Head to the building west of the jail, making sure to sneak through the grass. You'll see a banana garden that has a Monkey Child in it, which is being patrolled by The Monkey's Aunt. The aunt follows a predetermined path, which loops aroun"
Monkey Madness I,quest,Zeke,npc,helper,0.86,walkthrough interaction match,https://oldschool.runescape.wiki/w/Monkey_Madness_I,"*If you talk to Zeke, the scimitar seller of Al Kharid, and ask him for a Dragon scimitar, he will respond by saying, ""The banana-brained nitwits who make them would never sell any to me. Seriously, you'll be a monkey's uncle before you hol"
Monkey Madness II,quest,Ogre,monster,helper,0.86,walkthrough interaction match,https://oldschool.runescape.wiki/w/Monkey_Madness_II,Return to Garkor to tell him that the ogres and trolls have agreed not to help the monkeys.
My Arm's Big Adventure,quest,Ali the Kebab seller,npc,helper,0.86,walkthrough interaction match,https://oldschool.runescape.wiki/w/My_Arm%27s_Big_Adventure,"If you do not have the camulet, go to Pollnivneach and talk to Ali/Isma'il the Kebab Seller. Ask him for his red hot sauce. Then, head to Ali/Sami the Camel Man's store and use the red hot sauce on the trough. A camel nearby should eat it a"
Rag and Bone Man II,quest,Basilisk,monster,helper,0.86,walkthrough interaction match,https://oldschool.runescape.wiki/w/Rag_and_Bone_Man_II,":Travel method: Teleport to Rellekka (enchanted lyre, fairy ring code ), or to Camelot and walk north. Walk to the rare tree icon and kill some of the bunnies hopping about in the forest by the swaying tree. Then, head into the Fremennik Sl"
Rag and Bone Man II,quest,Experiment,monster,helper,0.86,walkthrough interaction match,https://oldschool.runescape.wiki/w/Rag_and_Bone_Man_II,":Travel method: If you're using the ectophial, travel to Port Phasmatys and travel west. If not, start in reverse order from fairy ring or walking east from the Odd Old Man's location. Another way to reach Morytania is using Kharyrll Telepo"
Rag and Bone Man II,quest,Ghoul,monster,helper,0.86,walkthrough interaction match,https://oldschool.runescape.wiki/w/Rag_and_Bone_Man_II,":Travel method: If you're using the ectophial, travel to Port Phasmatys and travel west. If not, start in reverse order from fairy ring or walking east from the Odd Old Man's location. Another way to reach Morytania is using Kharyrll Telepo"
Rag and Bone Man II,quest,Ice giant,monster,helper,0.86,walkthrough interaction match,https://oldschool.runescape.wiki/w/Rag_and_Bone_Man_II,":Travel method: Minigame teleport to Port Sarim Rat Pits if you have completed Ratcatchers; otherwise, use an amulet of glory to travel to Draynor and walk to Port Sarim (or use the fairy ring (code: ), which places you right on Mudskipper "
Rag and Bone Man II,quest,Seagull,monster,helper,0.86,walkthrough interaction match,https://oldschool.runescape.wiki/w/Rag_and_Bone_Man_II,":Travel method: Minigame teleport to Port Sarim Rat Pits if you have completed Ratcatchers; otherwise, use an amulet of glory to travel to Draynor and walk to Port Sarim (or use the fairy ring (code: ), which places you right on Mudskipper "
Rag and Bone Man II,quest,Vulture,monster,helper,0.86,walkthrough interaction match,https://oldschool.runescape.wiki/w/Rag_and_Bone_Man_II,":Travel method: Use the fairy ring (code: ) to get to the Nardah hunting area. Alternatively, use a ring of dueling or Lumbridge teleport and travel south through the Kharidian Desert, either walking or using magic carpets to the necessary "
Rag and Bone Man II,quest,Zogre,monster,helper,0.86,walkthrough interaction match,https://oldschool.runescape.wiki/w/Rag_and_Bone_Man_II,":Travel method: Travel to Feldip Hills using fairy ring (code: ), a ring of dueling (Castle Wars minigame teleport) and walking south-east, or gnome glider. There, you will find a plethora of ogres and wolves. If walking from Castle Wars, k"
Recipe for Disaster/Freeing Evil Dave,quest,Doris,npc,helper,0.86,walkthrough interaction match,https://oldschool.runescape.wiki/w/Recipe_for_Disaster/Freeing_Evil_Dave,"Inspect Evil Dave in the Lumbridge Castle dining room to start the quest. Then go to Edgeville. The house west of the bank is Evil Dave's mother's house. Talk to her and ask her either question. Then, climb down the trapdoor. You will see t"
Recipe for Disaster/Freeing Pirate Pete,quest,Cook (Lumbridge),npc,helper,0.86,walkthrough interaction match,https://oldschool.runescape.wiki/w/Recipe_for_Disaster/Freeing_Pirate_Pete,"Inspect Pirate Pete in the Lumbridge Castle dining room to start the quest. Talk to the Cook in the next room. He will tell you to get ground cod, breadcrumbs, ground giant crab meat, and ground kelp. He will tell you that Murphy in Port Kh / Return to and speak with the Cook. Use the ingredients on each other, and cook it to get a fishcake. Right-click and use it on (don't eat it!) Pirate Pete in the dining room for your reward."
Recipe for Disaster/Freeing Pirate Pete,quest,Nung,npc,helper,0.86,walkthrough interaction match,https://oldschool.runescape.wiki/w/Recipe_for_Disaster/Freeing_Pirate_Pete,"Once you're underwater, find a tall plant, and pick it for the kelp. Get some extras in case you burn the fishcake. Then, look for a crab pen to the north. Talk to Nung. He will tell you to get him five mudskipper hides."
Recipe for Disaster/Freeing Sir Amik Varze,quest,Cook (Lumbridge),npc,helper,0.86,walkthrough interaction match,https://oldschool.runescape.wiki/w/Recipe_for_Disaster/Freeing_Sir_Amik_Varze,"Inspect Sir Amik in the Lumbridge Castle dining room to start the quest. Legends' Quest must be started in order to free him. Ask the Cook how to make a brulee supreme. He will tell you to mix milk and cream, add a pot of cornflour, a vanil / #Note: If you do not talk to the Cook before this point in the sub-quest, you will not have the option to ask about the Evil Chicken through the Wise Old Man's Dialogue. Return to Lumbridge Castle and talk to him if you have not done so."
Recipe for Disaster/Freeing Sir Amik Varze,quest,Wise Old Man,npc,helper,0.86,walkthrough interaction match,https://oldschool.runescape.wiki/w/Recipe_for_Disaster/Freeing_Sir_Amik_Varze,"#Talk to the Wise Old Man of Draynor Village, in the building north of the bank. Choose the option about wanting to ask him something, and ask to talk about strange beasts, and then, ask about the Evil Chicken."
Regicide,quest,Elena,npc,helper,0.86,walkthrough interaction match,https://oldschool.runescape.wiki/w/Regicide,"Go to East Ardougne and speak with Elena, who will tell you to see the Chemist in Rimmington. Talk to the Chemist about the quest, and he will give you permission to use the distiller. Now, use a barrel of coal tar on the large distiller ou"
Regicide,quest,Koftik,npc,helper,0.86,walkthrough interaction match,https://oldschool.runescape.wiki/w/Regicide,"Once you are at Iban's temple (where you encounter him during Underground Pass), go in and talk to Koftik if you require food. Simply climb down the Well of Voyage and go out of the cave."
Roving Elves,quest,Golrie,npc,helper,0.86,walkthrough interaction match,https://oldschool.runescape.wiki/w/Roving_Elves,"You will require Glarial's pebble to enter the tomb. If you have lost this, speak with Golrie in the Tree Gnome Village Dungeon to obtain another."
Royal Trouble,quest,Dwarf,monster,helper,0.86,walkthrough interaction match,https://oldschool.runescape.wiki/w/Royal_Trouble,Go to the pub and speak with a dwarf called Donal.
Scorpion Catcher,quest,Abbot Langley,npc,helper,0.86,walkthrough interaction match,https://oldschool.runescape.wiki/w/Scorpion_Catcher,The second scorpion is on the of the Edgeville Monastery. To enter the you'll need to speak with Abbot Langley to join their guild ( ). You do not have to do this again if you have already done it.
Sins of the Father,quest,Vyrewatch,monster,helper,0.86,walkthrough interaction match,https://oldschool.runescape.wiki/w/Sins_of_the_Father,Prepare for combat and make your way to the laboratory. A quick way to reach it is to teleport to Ver Sinhaza using your Drakan's Medallion and speak to the Vyrewatch next to the bank and request to be sent to the mines; withdraw food and c
Swan Song,quest,Master Crafter,npc,helper,0.86,walkthrough interaction match,https://oldschool.runescape.wiki/w/Swan_Song,Ask the master craftsmen (the one with no skillcape) about how to store the seeds until you find the one that will tell you; you will need simply a pot with a pot lid. You may skip the rest of this paragraph if you have both items. Mine two
Tale of the Righteous,quest,Mountain Guide,npc,helper,0.86,walkthrough interaction match,https://oldschool.runescape.wiki/w/Tale_of_the_Righteous,"Return to Lord Shiro Shayzien (talk to the Mountain Guide to make the journey faster if you don't have a teleport or the Lovakengj Minecart Network) and inform him of your discovery. He will ask for proof, and asks you to visit Phileas for "
The Corsair Curse,quest,Yusuf,npc,helper,0.86,walkthrough interaction match,https://oldschool.runescape.wiki/w/The_Corsair_Curse,"After killing Ithoi, leave his hut and return to Captain Tock, who will ask what is happening now. Explain to him that Ithoi was killed for poisoning his crew. He will thank you and say that he plans to let the crew members rest and get bet"
The Fremennik Isles,quest,Eric (Jatizso),npc,helper,0.86,walkthrough interaction match,https://oldschool.runescape.wiki/w/The_Fremennik_Isles,"Note: You can speak to Eric, who has no money and will throw a cabbage at you."
The Grand Tree,quest,Charlie,npc,helper,0.86,walkthrough interaction match,https://oldschool.runescape.wiki/w/The_Grand_Tree,"Speak to Charlie the prisoner again on the top floor of the Grand Tree, who says he heard Glough mention a chest key that he left at his girlfriend Anita's house. In the north-west corner of the stronghold, climb up the most north-western l"
The Great Brain Robbery,quest,Bill Teach,npc,helper,0.86,walkthrough interaction match,https://oldschool.runescape.wiki/w/The_Great_Brain_Robbery,"To start the quest, you must sail to Mos Le'Harmless and speak to Brother Tranquility. To get there, use a Mos le'harmless teleport, a Trouble Brewing mini-game teleport, or talk to Bill Teach on his boat in Port Phasmatys at the east end o"
The Red Reef,quest,Elder Katt,npc,helper,0.86,walkthrough interaction match,https://oldschool.runescape.wiki/w/The_Red_Reef,"Speak to any tortugan in the Summer Shore marketplace, and they'll direct you to the Sacred Grove to the north-east. Speak to Elder Katt, who will permit you temporary access to the Grove. Upon entering the Grove, speak to Floopa to the nor"
Troll Romance,quest,Godric,npc,helper,0.86,walkthrough interaction match,https://oldschool.runescape.wiki/w/Troll_Romance,"Dunstan is the Burthorpe smith, whose house is north-east of the Burthorpe Castle (8 on the map). Talk to him and ask for a sled. He says you are too old to be playing in the snow, but you explain that you need to reach a particular locatio"
Zogre Flesh Eaters,quest,Ogre guard,npc,helper,0.86,walkthrough interaction match,https://oldschool.runescape.wiki/w/Zogre_Flesh_Eaters,"Talk to the Ogre guard to the east. After mentioning Grish, he will remove the barricade to allow you inside the Zogre-infested area."
