quest,questType,entity,entityType,role,score,reviewNeeded,reasons,sourceUrl,evidence
A Kingdom Divided,quest,Martin Holt,npc,helper,0.98,False,quest category match; entity infobox quest field match; walkthrough chathead match; walkthrough interaction match,https://oldschool.runescape.wiki/w/A_Kingdom_Divided,"Speak to Martin Holt at the entrance to Kourend Castle in Kingstown. / Martin Holt / A cutscene will play where Councillor Andrews will thank you for your help, and tell you they will be investigating how Hughes managed to escape. Meanwhile, he will ask you to tell Martin Holt that the issue with Sophia Hughes is resolved, "
A Kingdom Divided,quest,Martin Holt,npc,start,1.0,False,quest category match; entity infobox quest field match; walkthrough chathead match; walkthrough interaction match,https://oldschool.runescape.wiki/w/A_Kingdom_Divided,"Speak to Martin Holt at the entrance to Kourend Castle in Kingstown. / Martin Holt / A cutscene will play where Councillor Andrews will thank you for your help, and tell you they will be investigating how Hughes managed to escape. Meanwhile, he will ask you to tell Martin Holt that the issue with Sophia Hughes is resolved, "
A Kingdom Divided,quest,Martin Holt,npc,story,0.95,False,quest category match; entity infobox quest field match; walkthrough chathead match; walkthrough interaction match,https://oldschool.runescape.wiki/w/A_Kingdom_Divided,"Speak to Martin Holt at the entrance to Kourend Castle in Kingstown. / Martin Holt / A cutscene will play where Councillor Andrews will thank you for your help, and tell you they will be investigating how Hughes managed to escape. Meanwhile, he will ask you to tell Martin Holt that the issue with Sophia Hughes is resolved, "
A Kingdom Divided,quest,Martin Holt,npc,turn_in,0.97,False,quest category match; entity infobox quest field match; walkthrough chathead match; walkthrough interaction match,https://oldschool.runescape.wiki/w/A_Kingdom_Divided,"Speak to Martin Holt at the entrance to Kourend Castle in Kingstown. / Martin Holt / A cutscene will play where Councillor Andrews will thank you for your help, and tell you they will be investigating how Hughes managed to escape. Meanwhile, he will ask you to tell Martin Holt that the issue with Sophia Hughes is resolved, "
A Kingdom Divided,quest,Mori,npc,story,0.93,False,quest category match,https://oldschool.runescape.wiki/w/A_Kingdom_Divided,Category:A Kingdom Divided
A Kingdom Divided,quest,Pandur Hosidius,npc,story,0.93,False,quest category match,https://oldschool.runescape.wiki/w/A_Kingdom_Divided,Category:A Kingdom Divided
A Kingdom Divided,quest,Phantom Hand,monster,story,0.93,False,quest category match,https://oldschool.runescape.wiki/w/A_Kingdom_Divided,Category:A Kingdom Divided
A Kingdom Divided,quest,Protest Leader,npc,story,0.95,False,quest category match; entity infobox quest field match,https://oldschool.runescape.wiki/w/A_Kingdom_Divided,Category:A Kingdom Divided
A Kingdom Divided,quest,Protester,npc,story,0.93,False,quest category match,https://oldschool.runescape.wiki/w/A_Kingdom_Divided,Category:A Kingdom Divided
A Kingdom Divided,quest,Queen Zyanyi Arkan,npc,story,0.93,False,quest category match,https://oldschool.runescape.wiki/w/A_Kingdom_Divided,Category:A Kingdom Divided
A Kingdom Divided,quest,Sergeant (Kebos Lowlands),npc,story,0.95,False,quest category match; entity infobox quest field match,https://oldschool.runescape.wiki/w/A_Kingdom_Divided,Category:A Kingdom Divided
A Kingdom Divided,quest,Sophia Hughes,npc,helper,0.92,False,quest category match; walkthrough interaction match,https://oldschool.runescape.wiki/w/A_Kingdom_Divided,"Talk to the Commander and she will explain that the council is actually very beneficial to Kourend. She will agree to have you help find Sophia Hughes, given that you follow her orders. Say ""Let's get going"" and you will see a cutscene, whe / Category:A Kingdom Divided"
A Kingdom Divided,quest,Sophia Hughes,npc,story,0.93,False,quest category match; walkthrough interaction match,https://oldschool.runescape.wiki/w/A_Kingdom_Divided,"Talk to the Commander and she will explain that the council is actually very beneficial to Kourend. She will agree to have you help find Sophia Hughes, given that you follow her orders. Say ""Let's get going"" and you will see a cutscene, whe / Category:A Kingdom Divided"
A Kingdom Divided,quest,Tomas Lawry,npc,story,0.95,False,quest category match; entity infobox quest field match,https://oldschool.runescape.wiki/w/A_Kingdom_Divided,Category:A Kingdom Divided
A Kingdom Divided,quest,Veos,npc,story,0.95,False,quest category match; entity infobox quest field match,https://oldschool.runescape.wiki/w/A_Kingdom_Divided,Category:A Kingdom Divided
A Kingdom Divided,quest,Xamphur,npc,enemy,0.99,False,quest category match; entity infobox quest field match,https://oldschool.runescape.wiki/w/A_Kingdom_Divided,* Judge of Yama (Level 168) * 2 Assassins (Level 132) * Lizardman brute (Level 75) * Xamphur (level 239) * Barbarian Warlord (Level 91) / Category:A Kingdom Divided
A Kingdom Divided,quest,Xamphur,npc,story,0.95,False,quest category match; entity infobox quest field match,https://oldschool.runescape.wiki/w/A_Kingdom_Divided,* Judge of Yama (Level 168) * 2 Assassins (Level 132) * Lizardman brute (Level 75) * Xamphur (level 239) * Barbarian Warlord (Level 91) / Category:A Kingdom Divided
A Night at the Theatre,quest,Araxyte,monster,enemy,0.97,False,,https://oldschool.runescape.wiki/w/A_Night_at_the_Theatre,*Vyrewatch (Level 105) *Several venomous araxyte (Levels 96 and 146) (can be avoided) *Hespori (Level 302) *The Maiden of Sugadinti *Pestilent Bloat *Nylocas Vasilias *Sotetseg *Xarpus *Verzik Vitur
A Night at the Theatre,quest,Daer Krand,npc,story,0.95,False,quest category match; entity infobox quest field match,https://oldschool.runescape.wiki/w/A_Night_at_the_Theatre,Category:A Night at the Theatre
A Night at the Theatre,quest,Filliman Tarlock,npc,story,0.93,False,quest category match,https://oldschool.runescape.wiki/w/A_Night_at_the_Theatre,Category:A Night at the Theatre
A Night at the Theatre,quest,Flower (A Night at the Theatre),npc,story,0.93,False,quest category match,https://oldschool.runescape.wiki/w/A_Night_at_the_Theatre,Category:A Night at the Theatre
A Night at the Theatre,quest,Hespori (A Night at the Theatre),monster,enemy,0.99,False,quest category match,https://oldschool.runescape.wiki/w/A_Night_at_the_Theatre,*Vyrewatch (Level 105) *Several venomous araxyte (Levels 96 and 146) (can be avoided) *Hespori (Level 302) *The Maiden of Sugadinti *Pestilent Bloat *Nylocas Vasilias *Sotetseg *Xarpus *Verzik Vitur / Category:A Night at the Theatre
A Night at the Theatre,quest,Hespori (A Night at the Theatre),monster,story,0.93,False,quest category match,https://oldschool.runescape.wiki/w/A_Night_at_the_Theatre,*Vyrewatch (Level 105) *Several venomous araxyte (Levels 96 and 146) (can be avoided) *Hespori (Level 302) *The Maiden of Sugadinti *Pestilent Bloat *Nylocas Vasilias *Sotetseg *Xarpus *Verzik Vitur / Category:A Night at the Theatre
A Night at the Theatre,quest,Mysterious Stranger,npc,helper,0.96,False,quest category match; entity infobox quest field match; walkthrough interaction match,https://oldschool.runescape.wiki/w/A_Night_at_the_Theatre,"Talk to the Mysterious Stranger by the entrance to Ver Sinhaza. He will tell players about the information he has gathered about Verzik Vitur through mercenaries who've survived the Theatre of Blood; specifically, her unique abilities, whic / Head back to the spider cave and use the sulphuric acid on the egg sac to obtain some strange spider eggs. You will be attacked by multiple level 96 and 146 araxytes, which can inflict venom starting at 8 damage. They cannot be killed witho / Talk to the Mysterious Stranger once more, and you'll both view a memory not from Verzik, but from Vulcan Orvoros, who was Verzik's doctor and wrote a record on her illness after the bite from the Nylocas Queen. It is revealed that after th"
A Night at the Theatre,quest,Mysterious Stranger,npc,story,0.95,False,quest category match; entity infobox quest field match; walkthrough interaction match,https://oldschool.runescape.wiki/w/A_Night_at_the_Theatre,"Talk to the Mysterious Stranger by the entrance to Ver Sinhaza. He will tell players about the information he has gathered about Verzik Vitur through mercenaries who've survived the Theatre of Blood; specifically, her unique abilities, whic / Head back to the spider cave and use the sulphuric acid on the egg sac to obtain some strange spider eggs. You will be attacked by multiple level 96 and 146 araxytes, which can inflict venom starting at 8 damage. They cannot be killed witho / Talk to the Mysterious Stranger once more, and you'll both view a memory not from Verzik, but from Vulcan Orvoros, who was Verzik's doctor and wrote a record on her illness after the bite from the Nylocas Queen. It is revealed that after th"
A Night at the Theatre,quest,Nylocas (A Night at the Theatre),npc,story,0.95,False,quest category match; entity infobox quest field match,https://oldschool.runescape.wiki/w/A_Night_at_the_Theatre,Category:A Night at the Theatre
A Night at the Theatre,quest,Nylocas Queen,npc,story,0.95,False,quest category match; entity infobox quest field match,https://oldschool.runescape.wiki/w/A_Night_at_the_Theatre,Category:A Night at the Theatre
A Night at the Theatre,quest,Nylocas Vasilias,monster,enemy,0.97,False,,https://oldschool.runescape.wiki/w/A_Night_at_the_Theatre,*Vyrewatch (Level 105) *Several venomous araxyte (Levels 96 and 146) (can be avoided) *Hespori (Level 302) *The Maiden of Sugadinti *Pestilent Bloat *Nylocas Vasilias *Sotetseg *Xarpus *Verzik Vitur
A Night at the Theatre,quest,Pestilent Bloat,monster,enemy,0.97,False,,https://oldschool.runescape.wiki/w/A_Night_at_the_Theatre,*Vyrewatch (Level 105) *Several venomous araxyte (Levels 96 and 146) (can be avoided) *Hespori (Level 302) *The Maiden of Sugadinti *Pestilent Bloat *Nylocas Vasilias *Sotetseg *Xarpus *Verzik Vitur
A Night at the Theatre,quest,Ranis Drakan,npc,story,0.93,False,quest category match,https://oldschool.runescape.wiki/w/A_Night_at_the_Theatre,Category:A Night at the Theatre
A Night at the Theatre,quest,Sotetseg,monster,enemy,0.97,False,,https://oldschool.runescape.wiki/w/A_Night_at_the_Theatre,*Vyrewatch (Level 105) *Several venomous araxyte (Levels 96 and 146) (can be avoided) *Hespori (Level 302) *The Maiden of Sugadinti *Pestilent Bloat *Nylocas Vasilias *Sotetseg *Xarpus *Verzik Vitur
A Night at the Theatre,quest,The Maiden of Sugadinti,monster,enemy,0.97,False,,https://oldschool.runescape.wiki/w/A_Night_at_the_Theatre,*Vyrewatch (Level 105) *Several venomous araxyte (Levels 96 and 146) (can be avoided) *Hespori (Level 302) *The Maiden of Sugadinti *Pestilent Bloat *Nylocas Vasilias *Sotetseg *Xarpus *Verzik Vitur
A Night at the Theatre,quest,Verzik Vitur,npc,enemy,0.99,False,quest category match,https://oldschool.runescape.wiki/w/A_Night_at_the_Theatre,*Vyrewatch (Level 105) *Several venomous araxyte (Levels 96 and 146) (can be avoided) *Hespori (Level 302) *The Maiden of Sugadinti *Pestilent Bloat *Nylocas Vasilias *Sotetseg *Xarpus *Verzik Vitur / Category:A Night at the Theatre
A Night at the Theatre,quest,Verzik Vitur,npc,story,0.93,False,quest category match,https://oldschool.runescape.wiki/w/A_Night_at_the_Theatre,*Vyrewatch (Level 105) *Several venomous araxyte (Levels 96 and 146) (can be avoided) *Hespori (Level 302) *The Maiden of Sugadinti *Pestilent Bloat *Nylocas Vasilias *Sotetseg *Xarpus *Verzik Vitur / Category:A Night at the Theatre
A Night at the Theatre,quest,Vulcan Orvoros,npc,story,0.95,False,quest category match; entity infobox quest field match,https://oldschool.runescape.wiki/w/A_Night_at_the_Theatre,Category:A Night at the Theatre
A Night at the Theatre,quest,Vyre Orator,npc,story,0.95,False,quest category match; entity infobox quest field match,https://oldschool.runescape.wiki/w/A_Night_at_the_Theatre,Category:A Night at the Theatre
A Night at the Theatre,quest,Vyrewatch,monster,enemy,0.97,False,,https://oldschool.runescape.wiki/w/A_Night_at_the_Theatre,*Vyrewatch (Level 105) *Several venomous araxyte (Levels 96 and 146) (can be avoided) *Hespori (Level 302) *The Maiden of Sugadinti *Pestilent Bloat *Nylocas Vasilias *Sotetseg *Xarpus *Verzik Vitur
A Night at the Theatre,quest,Xarpus,npc,enemy,0.97,False,,https://oldschool.runescape.wiki/w/A_Night_at_the_Theatre,*Vyrewatch (Level 105) *Several venomous araxyte (Levels 96 and 146) (can be avoided) *Hespori (Level 302) *The Maiden of Sugadinti *Pestilent Bloat *Nylocas Vasilias *Sotetseg *Xarpus *Verzik Vitur
A Porcine of Interest,quest,Fortunato,npc,start,0.99,False,,https://oldschool.runescape.wiki/w/A_Porcine_of_Interest,"Read the town notice board in Draynor Village, behind Fortunato's Wine Shop."
A Porcine of Interest,quest,Sarah,npc,helper,0.98,False,quest category match; entity infobox quest field match; walkthrough chathead match; walkthrough interaction match,https://oldschool.runescape.wiki/w/A_Porcine_of_Interest,"Sarah / Talk to Sarah, who explains that she was making her monthly delivery to The Sheared Ram when she was attacked by a hulking monster near the crossroads north of Draynor Village, where she lost her cart of farm produce. / Category:A Porcine of Interest"
A Porcine of Interest,quest,Sarah,npc,story,0.95,False,quest category match; entity infobox quest field match; walkthrough chathead match; walkthrough interaction match,https://oldschool.runescape.wiki/w/A_Porcine_of_Interest,"Sarah / Talk to Sarah, who explains that she was making her monthly delivery to The Sheared Ram when she was attacked by a hulking monster near the crossroads north of Draynor Village, where she lost her cart of farm produce. / Category:A Porcine of Interest"
A Porcine of Interest,quest,Sourhog,monster,enemy,0.99,False,quest category match,https://oldschool.runescape.wiki/w/A_Porcine_of_Interest,Sourhog (level 37) / Category:A Porcine of Interest
A Porcine of Interest,quest,Sourhog,monster,story,0.93,False,quest category match,https://oldschool.runescape.wiki/w/A_Porcine_of_Interest,Sourhog (level 37) / Category:A Porcine of Interest
A Porcine of Interest,quest,Sourhog (A Porcine of Interest),npc,story,0.95,False,quest category match; entity infobox quest field match,https://oldschool.runescape.wiki/w/A_Porcine_of_Interest,Category:A Porcine of Interest
A Porcine of Interest,quest,Spria,npc,helper,0.96,False,quest category match; entity infobox quest field match; walkthrough interaction match,https://oldschool.runescape.wiki/w/A_Porcine_of_Interest,"Speak to Spria, who tells you that the monster is a sourhog, a creature made through a magical experiment and whose saliva is extremely acidic. She will give you a pair of reinforced goggles to protect you from its acid attack, and tells yo / Speak to Spria in her house in Draynor Village to finish the quest. / Category:A Porcine of Interest"
A Porcine of Interest,quest,Spria,npc,story,0.95,False,quest category match; entity infobox quest field match; walkthrough interaction match,https://oldschool.runescape.wiki/w/A_Porcine_of_Interest,"Speak to Spria, who tells you that the monster is a sourhog, a creature made through a magical experiment and whose saliva is extremely acidic. She will give you a pair of reinforced goggles to protect you from its acid attack, and tells yo / Speak to Spria in her house in Draynor Village to finish the quest. / Category:A Porcine of Interest"
A Soul's Bane,quest,Angry bear,monster,enemy,0.99,False,quest category match,https://oldschool.runescape.wiki/w/A_Soul%27s_Bane,"*7-8 angry unicorns, angry bears, angry giant rats, and/or angry goblins *5 fear reapers (level 42) *6 confusion beasts (level 43) — must tank them, cannot kill *5 hopeless creatures (level 40) *3 parts of Tolna (level 46) / Category:A Soul's Bane"
A Soul's Bane,quest,Angry bear,monster,story,0.93,False,quest category match,https://oldschool.runescape.wiki/w/A_Soul%27s_Bane,"*7-8 angry unicorns, angry bears, angry giant rats, and/or angry goblins *5 fear reapers (level 42) *6 confusion beasts (level 43) — must tank them, cannot kill *5 hopeless creatures (level 40) *3 parts of Tolna (level 46) / Category:A Soul's Bane"
A Soul's Bane,quest,Angry giant rat,monster,enemy,0.99,False,quest category match,https://oldschool.runescape.wiki/w/A_Soul%27s_Bane,"*7-8 angry unicorns, angry bears, angry giant rats, and/or angry goblins *5 fear reapers (level 42) *6 confusion beasts (level 43) — must tank them, cannot kill *5 hopeless creatures (level 40) *3 parts of Tolna (level 46) / Category:A Soul's Bane"
A Soul's Bane,quest,Angry giant rat,monster,story,0.93,False,quest category match,https://oldschool.runescape.wiki/w/A_Soul%27s_Bane,"*7-8 angry unicorns, angry bears, angry giant rats, and/or angry goblins *5 fear reapers (level 42) *6 confusion beasts (level 43) — must tank them, cannot kill *5 hopeless creatures (level 40) *3 parts of Tolna (level 46) / Category:A Soul's Bane"
A Soul's Bane,quest,Angry goblin,monster,enemy,0.99,False,quest category match,https://oldschool.runescape.wiki/w/A_Soul%27s_Bane,"*7-8 angry unicorns, angry bears, angry giant rats, and/or angry goblins *5 fear reapers (level 42) *6 confusion beasts (level 43) — must tank them, cannot kill *5 hopeless creatures (level 40) *3 parts of Tolna (level 46) / Category:A Soul's Bane"
A Soul's Bane,quest,Angry goblin,monster,story,0.93,False,quest category match,https://oldschool.runescape.wiki/w/A_Soul%27s_Bane,"*7-8 angry unicorns, angry bears, angry giant rats, and/or angry goblins *5 fear reapers (level 42) *6 confusion beasts (level 43) — must tank them, cannot kill *5 hopeless creatures (level 40) *3 parts of Tolna (level 46) / Category:A Soul's Bane"
A Soul's Bane,quest,Angry unicorn,monster,enemy,0.99,False,quest category match,https://oldschool.runescape.wiki/w/A_Soul%27s_Bane,"*7-8 angry unicorns, angry bears, angry giant rats, and/or angry goblins *5 fear reapers (level 42) *6 confusion beasts (level 43) — must tank them, cannot kill *5 hopeless creatures (level 40) *3 parts of Tolna (level 46) / Category:A Soul's Bane"
A Soul's Bane,quest,Angry unicorn,monster,story,0.93,False,quest category match,https://oldschool.runescape.wiki/w/A_Soul%27s_Bane,"*7-8 angry unicorns, angry bears, angry giant rats, and/or angry goblins *5 fear reapers (level 42) *6 confusion beasts (level 43) — must tank them, cannot kill *5 hopeless creatures (level 40) *3 parts of Tolna (level 46) / Category:A Soul's Bane"
A Soul's Bane,quest,Brana,npc,story,0.95,False,quest category match; entity infobox quest field match,https://oldschool.runescape.wiki/w/A_Soul%27s_Bane,Category:A Soul's Bane
A Soul's Bane,quest,Confusion beast,monster,enemy,0.99,False,quest category match,https://oldschool.runescape.wiki/w/A_Soul%27s_Bane,"*7-8 angry unicorns, angry bears, angry giant rats, and/or angry goblins *5 fear reapers (level 42) *6 confusion beasts (level 43) — must tank them, cannot kill *5 hopeless creatures (level 40) *3 parts of Tolna (level 46) / Category:A Soul's Bane"
A Soul's Bane,quest,Confusion beast,monster,story,0.93,False,quest category match,https://oldschool.runescape.wiki/w/A_Soul%27s_Bane,"*7-8 angry unicorns, angry bears, angry giant rats, and/or angry goblins *5 fear reapers (level 42) *6 confusion beasts (level 43) — must tank them, cannot kill *5 hopeless creatures (level 40) *3 parts of Tolna (level 46) / Category:A Soul's Bane"
A Soul's Bane,quest,Fear reaper,monster,enemy,0.99,False,quest category match,https://oldschool.runescape.wiki/w/A_Soul%27s_Bane,"*7-8 angry unicorns, angry bears, angry giant rats, and/or angry goblins *5 fear reapers (level 42) *6 confusion beasts (level 43) — must tank them, cannot kill *5 hopeless creatures (level 40) *3 parts of Tolna (level 46) / Category:A Soul's Bane"
